,school,policy_details,number_of_applicants,accept_rate,test_optional?_No,test_optional?_Yes,test_optional?_Yes (TB),test_optional?_Yes (TF),test_optional?_Yes*,years_applicable_from_2021,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
363,Wheaton College (IL),Wheaton has adopted a one-year test optional policy for students applying in the 2020-21 admissions cycle.,1889,0.848,0,1,0,0,0,1,1220.0,1440.0,26.0,32.0
364,Northern Arizona,Northern Arizona University offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores. However scores required to receive merit-based scholarships.,36855,0.85,0,1,0,0,0,100,1030.0,1230.0,19.0,25.0
365,Washington and Jefferson College,Washington and Jefferson College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,2722,0.852,0,1,0,0,0,100,1090.0,1280.0,22.0,28.0
366,Kent State,Kent State requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,16308,0.855,0,1,0,0,0,100,1040.0,1230.0,20.0,26.0
367,Mills College,Mills College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.,1003,0.855,0,1,0,0,0,100,1008.0,1240.0,21.0,29.0
368,Hope College,Hope College has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However students who wish to be considered for merit scholarships must submit test scores.,3748,0.857,0,1,0,0,0,1,1130.0,1330.0,23.0,31.0
369,Valparaiso University,Valparaiso has adopted a two-year test optional policy. They will reevaluate their policy after the 2022 admission cycle.,5491,0.858,0,1,0,0,0,2,1070.0,1290.0,22.0,29.0
370,George Mason University,George Mason University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who major in computer science and engineering majors home-schooled applicants and students seeking to become a member of one of George Mason’s NCAA intercollegiate athletics teams are not eligible for test optional admission. The Volgenau School of Engineering entering classes of 2020 and 2021 are exempt from the 550 SAT Math/24 ACT Math requirement.,19554,0.867,0,1,0,0,0,100,1110.0,1320.0,24.0,30.0
371,Old Dominion,ODU offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13335,0.87,0,1,0,0,0,100,990.0,1200.0,18.0,24.0
372,Missouri State,Missouri State University requires either the SAT or ACT however it will waive the requirement for students with a 3.25+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7581,0.879,0,0,0,0,1,1,1040.0,1240.0,21.0,27.0
373,University of Wisconsin Milwaukee,The University of Wisconsin--Milwaukee has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,8280,0.885,0,1,0,0,0,1,1000.0,1398.0,20.0,25.0
374,Transylvania University,Transylvania University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However test optional applicants are strongly encouraged to visit the Transylvania campus for an in-depth interview.,1702,0.887,0,1,0,0,0,100,1100.0,1310.0,24.0,30.0
